NAMA PENGINAPAN,BINTANG/NON BINTANG,GOLONGAN,JUMLAH KAMAR,ALAMAT,Latitude,Longitude
Andrea Hotel,Non Bintang,Melati,8.0,Sosrowijayan Wetan GT I/140,-7.790214,110.36405
Anugerah Penginapan,Non Bintang,Melati,5.0,Pajeksan GT I/688,-7.792806,110.36535
Anugrah Jaya Regina Losmen,Non Bintang,Melati,15.0,Sosrowijayan Wetan / 79,-7.786732,110.36392
Arawa Home Stay,Non Bintang,Akomodasi Lain,4.0,Timoho Gg. Sidoluhur 940,-7.788925,110.39438
Arimbi Lily Hotel,Non Bintang,Melati,11.0,Sosrowijayan Wetan GT I/75,-7.790818,110.36568
Arizon Hotel,Non Bintang,Melati,22.0,Jl. Jlagran No.6,-7.790767,110.36044
Arjuna 31 Homestay,Non Bintang,Akomodasi Lain,19.0,Arjuna No. 31,-7.80423,110.34794
Arjuna Hotel,Bintang,Bintang Tiga,72.0,Jl. P. Mangkubumi/Jl. Margo Utomo No. 44,-7.784965,110.36714
Arjuna Wisma,Non Bintang,Melati,10.0,Jl. Tirtodipuran No. 15,-7.814581,110.36363
Arkananta Villa ,Non Bintang,Akomodasi Lain,7.0,Tirtodipuran No. 49,-7.818305,110.36596
Armany Homestay,Non Bintang,Akomodasi Lain,4.0,Bugisan No. 36,-7.793753,110.35243
Armira Homestay,Non Bintang,Akomodasi Lain,2.0,Pakuncen No. 21,-7.780645,110.34706
Arrayan Residence Syariah,Bintang,Bintang Dua,34.0,Bhayangkara No. 13,-7.800071,110.3618
Arte Hotel,Bintang,Bintang Tiga,74.0,Pasar Kembang No. 53,-7.789757,110.36223
Arys Wisma,Non Bintang,Melati,25.0,Jl. Suryodiningratan No. 29,-7.817842,110.36037
Asana Grove Hotel,Bintang,Bintang Dua,36.0,Jl. Ganesha II No. 53,-7.792604,110.39456
Ashtary Hotel,Non Bintang,Melati,15.0,Jl. MT Haryono No. 29,-7.813598,110.35975
Asri Graha Hotel,Non Bintang,Melati,17.0,Jl. Veteran 184 A,-7.814897,110.3882
Astana Ibu ,Non Bintang,Akomodasi Lain,5.0,Ngadisuryan No. 3,-7.811336,110.36222
Atalie Hotel,Non Bintang,Melati,11.0,Jl. Sosrokusuman DN I/118,-7.793405,110.36683
Athaya Homestay,Non Bintang,Pondok Wisata,5.0,Tegalmulyo WB I/129B,-7.793155,110.35263
Atiep Siti Losmen,Non Bintang,Pondok Wisata,3.0,Sosrowijayan GT I/121,-7.79113,110.3641
Aura Hotel,Non Bintang,Akomodasi Lain,19.0,Sosrowijayan Wetan GT I/118,-7.789447,110.36382
Aveta Malioboro Hotel,Non Bintang,Akomodasi Lain,110.0,Malioboro No. 42,-7.793713,110.3658
Ayaartta Hotel,Bintang,Bintang Empat,71.0,Jl. KH Ahmad Dahlan No. 123,-7.801404,110.35693
Ayodya Garden Hostel,Non Bintang,Akomodasi Lain,4.0,Timuran No. 83,-7.817335,110.36854
Ayu Asha Penginapan,Non Bintang,Melati,9.0,Sosrokusuman DN I/171,-7.794021,110.3672
Bakti Hotel,Non Bintang,Melati,19.0,Jl. Hayam Wuruk 13,-7.794861,110.37239
Balai Latihan Ketrampilan Pay Aisyiyah,Non Bintang,Melati,25.0,Jl. Agus Salim No. 63,-7.804103,110.35688
Bali Omah Guest House,Non Bintang,Pondok Wisata,5.0,Jl. Kompol Bambang Suprapto No. 18,-7.790773,110.3841
Banana Homestay,Non Bintang,Akomodasi Lain,6.0,Gondomanan II No. 337,-7.805218,110.37052
Barbados Homestay,Non Bintang,Pondok Wisata,3.0,Perumahan Griya Asri No. 18A,-7.820013,110.35661
Batik Palace Yogyakarta,Bintang,Bintang Satu,40.0,Jl. Dagen Komplek Taman Yuwono,-7.792061,110.36511
Bejo Nrimo Homestay,Non Bintang,Akomodasi Lain,7.0,Gowongan Lor No. 15,-7.785387,110.36576
Bener Hotel,Non Bintang,Melati,51.0,Jl. Bener No.9,-7.78011,110.35157
